UDID,App Name,Seller
,Speedtest (4.5.1),Ookla
,Snapchat (12.12.1),"Snap, Inc."
,hh работа (7.1),HeadHunter
,Zoom (5.12.9),"Zoom Video Communications, Inc."
,iMovie (4630.9.39),Apple
,Adblock Plus (2.1),Eyeo GmbH
,Календарь Google (22.45.0),Google LLC
,Налоги ФЛ (1.49.1),"ГНИВЦ, АО"
,ОБОИ (2.23),Viktor Kumanenkov
,PeaceDeath (1.6.11),Azamat Bayzulaev
,Газпромбанк (2.2.0),Gazprombank AO
